Accident_Index,Longitude,Latitude,SV,Number_of_Vehicles,Number_of_Casualties,Day_of_Week,Time,1st_Road_Class,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Vehicle1_Type,Vehicle2_Type,Vehicle3_Type,Vehicle1_Manoeuvre,Vehicle2_Manoeuvre,Vehicle3_Manoeuvre,Vehicle1_Location-Restricted_Lane,Vehicle2_Location-Restricted_Lane,Vehicle3_Location-Restricted_Lane,Junction1_Location,Junction2_Location,Junction3_Location,Skidding1_and_Overturning,Skidding2_and_Overturning,Skidding3_and_Overturning,Hit_Object_in_Carriageway1,Hit_Object_in_Carriageway2,Hit_Object_in_Carriageway3,Vehicle1_Leaving_Carriageway,Vehicle2_Leaving_Carriageway,Vehicle3_Leaving_Carriageway,Hit_Object_off_Carriageway1,Hit_Object_off_Carriageway2,Hit_Object_off_Carriageway3,1st_Point_of_Impact1,1st_Point_of_Impact2,1st_Point_of_Impact3,Was_Vehicle 1_Left_Hand_Drive?,Was_Vehicle2_Left_Hand_Drive?,Was_Vehicle 3_Left_Hand_Drive?,Journey_Purpose_of_Driver1,Journey_Purpose_of_Driver2,Journey_Purpose_of_Driver3,Sex_of_Driver1,Sex_of_Driver2,Sex_of_Driver3,Age_Band_of_Driver1,Age_Band_of_Driver2,Age_Band_of_Driver3,Age_of_Vehicle1,Age_of_Vehicle2,Age_of_Vehicle3
201443P079064,-1.201995,51.88222,1,2,1,6,11.21,1,3,70,0,0,0,0,0,1,1,1,0,0,2,9,21,0,18,18,0,10,10,0,9,9,0,6,6,0,13,13,0,9,9,0,12,12,0,1,2,0,1,1,0,6,6,0,2,1,0,6,8,0,13,3,0
201443P125124,-1.648041,51.80499,1,2,3,3,10.37,3,6,60,0,0,0,0,0,1,1,1,0,0,2,9,9,0,18,18,0,10,10,0,9,9,0,6,6,0,13,13,0,9,1,0,12,10,0,1,1,0,1,1,0,2,6,0,1,1,0,8,10,0,11,6,0
201443P134124,-1.526786,51.95085,1,2,3,6,14.40,3,6,60,0,0,0,0,0,1,1,1,0,0,2,21,9,0,18,18,0,10,10,0,9,9,0,1,5,0,13,13,0,7,1,0,11,12,0,3,3,0,1,1,0,1,6,0,1,1,0,9,10,0,2,2,0
201443P145054,-1.225689,51.741844,1,1,1,6,15.50,4,6,30,0,0,0,0,8,1,1,1,0,0,1,90,0,0,18,0,0,10,0,0,9,0,0,1,0,0,13,0,0,9,0,0,12,0,0,1,0,0,1,0,0,1,0,0,1,0,0,7,0,0,2,0,0
201443P169024,-1.314198,51.661416,1,4,2,6,2.58,3,3,70,0,0,0,0,0,6,1,1,0,7,2,9,21,21,2,4,3,10,10,10,9,9,9,6,3,6,13,13,13,9,9,9,12,12,12,5,1,2,1,1,1,1,1,1,1,1,1,6,9,8,3,2,3
201443P263124,-1.63354,51.571834,1,1,1,7,14.20,4,6,60,0,0,0,0,0,1,4,2,0,0,2,9,0,0,16,0,0,10,0,0,9,0,0,1,0,0,10,0,0,7,0,0,4,0,0,3,0,0,1,0,0,6,0,0,1,0,0,6,0,0,10,0,0
201443P268064,-1.499748,51.783512,1,1,4,2,8.10,3,6,30,0,0,0,0,0,1,1,1,0,0,1,9,0,0,18,0,0,9,0,0,9,0,0,6,0,0,13,0,0,7,0,0,12,0,0,1,0,0,1,0,0,2,0,0,1,0,0,4,0,0,8,0,0
201443P268124,-1.258342,51.828893,1,1,1,7,22.20,3,3,70,5,4,3,0,0,6,1,2,0,0,2,9,0,0,16,0,0,10,0,0,5,0,0,1,0,0,13,0,0,1,0,0,4,0,0,3,0,0,1,0,0,2,0,0,2,0,0,5,0,0,8,0,0
201443P304094,-1.229589,51.773987,1,2,1,6,11.59,4,6,30,3,4,3,0,0,1,1,1,0,0,2,9,5,0,9,18,0,10,10,0,6,8,0,6,6,0,13,13,0,9,9,0,12,12,0,1,4,0,1,1,0,6,6,0,1,1,0,6,10,0,4,11,0
201443P312044,-1.288839,51.662344,1,1,1,2,20.10,6,6,30,3,4,6,0,0,1,1,1,0,0,1,9,0,0,9,0,0,10,0,0,8,0,0,6,0,0,13,0,0,9,0,0,12,0,0,1,0,0,1,0,0,6,0,0,1,0,0,6,0,0,15,0,0
201443R105104,-0.618816,51.477288,1,2,2,4,15.12,3,3,40,0,0,0,0,0,1,1,2,0,0,1,9,9,0,18,18,0,10,10,0,9,9,0,6,6,0,10,13,0,6,9,0,12,12,0,1,1,0,1,1,0,6,6,0,1,2,0,10,10,0,5,2,0
201443R145014,-0.544493,51.497287,1,1,1,4,17.28,4,6,30,3,4,6,0,4,4,1,1,0,0,1,8,0,0,6,0,0,10,0,0,8,0,0,6,0,0,13,0,0,9,0,0,12,0,0,1,0,0,1,0,0,1,0,0,1,0,0,6,0,0,6,0,0
201443R173014,-0.772317,51.469392,1,2,1,7,20.8,1,3,70,0,0,0,0,0,6,1,2,0,0,2,9,9,0,18,18,0,10,10,0,9,9,0,2,1,0,13,13,0,1,9,0,6,12,0,3,3,0,1,1,0,6,6,0,1,2,0,6,8,0,5,7,0
201443R232124,-0.728681,51.416422,1,2,1,6,19.45,6,6,30,3,4,6,0,0,4,1,1,0,0,1,9,3,0,9,18,0,10,10,0,6,8,0,6,1,0,13,13,0,9,9,0,12,12,0,3,1,0,1,1,0,6,6,0,2,1,0,6,5,0,14,2,0
201443S001034,-0.700736,52.046244,1,1,1,2,7.55,3,3,70,0,0,0,0,7,1,1,2,0,0,2,9,0,0,18,0,0,10,0,0,9,0,0,6,0,0,13,0,0,9,0,0,12,0,0,1,0,0,1,0,0,2,0,0,1,0,0,8,0,0,1,0,0
201443S001054,-0.815171,52.038765,1,1,1,5,15.30,5,6,60,3,4,6,0,0,1,1,1,0,0,1,9,0,0,18,0,0,10,0,0,8,0,0,6,0,0,13,0,0,9,0,0,12,0,0,1,0,0,1,0,0,6,0,0,1,0,0,10,0,0,6,0,0
201443S007054,-0.81637,52.051329,1,3,4,6,9.47,5,6,60,3,4,6,0,0,1,1,1,0,0,2,9,9,19,18,10,18,10,10,10,1,8,1,1,6,6,13,13,13,9,9,9,12,12,12,1,2,1,1,1,1,6,6,1,1,2,2,5,8,7,8,9,3
201443S045124,-0.726082,52.022047,1,1,1,5,17.15,5,3,70,0,0,0,0,7,4,2,2,0,0,2,9,0,0,18,0,0,10,0,0,9,0,0,6,0,0,13,0,0,9,0,0,12,0,0,1,0,0,1,0,0,6,0,0,1,0,0,6,0,0,7,0,0
201443S051094,-0.714338,52.019932,1,3,3,5,13.10,5,3,70,3,4,6,0,0,1,1,1,0,0,2,9,9,19,9,18,10,10,10,10,8,1,1,6,6,6,13,13,13,9,9,9,12,12,12,4,1,1,1,1,1,6,6,6,1,2,1,11,6,8,9,8,9
201443S101044,-0.762508,52.029286,1,2,4,6,11.51,5,3,70,3,4,6,0,0,1,1,1,0,0,1,9,20,0,9,18,0,10,10,0,8,1,0,6,6,0,13,13,0,9,9,0,12,12,0,4,1,0,1,1,0,6,1,0,1,1,0,5,7,0,14,8,0
201443S131074,-0.69353,52.113267,1,1,1,2,5.35,3,6,60,0,0,0,0,0,1,1,1,0,0,2,21,0,0,18,0,0,10,0,0,9,0,0,1,0,0,13,0,0,9,0,0,12,0,0,1,0,0,1,0,0,1,0,0,1,0,0,6,0,0,3,0,0
201443W001084,-1.371657,51.379406,1,1,4,2,4.5,6,6,60,0,0,0,0,0,6,1,1,0,0,2,9,0,0,18,0,0,10,0,0,9,0,0,1,0,0,13,0,0,8,0,0,4,0,0,3,0,0,1,0,0,6,0,0,1,0,0,4,0,0,7,0,0
201443W070014,-1.001799,51.452174,1,1,1,2,3.30,6,6,30,0,0,0,0,0,4,1,2,0,0,1,20,0,0,18,0,0,10,0,0,9,0,0,6,0,0,13,0,0,9,0,0,12,0,0,1,0,0,1,0,0,1,0,0,1,0,0,6,0,0,9,0,0
